"name1"	"name2"	"D.ij.bMNTD"	"G.ij.bMNTD"	"Ds.ij.bMNTD"	"Gs.ij.bMNTD"	"C.ij.bMNTD"	"E.ij.bMNTD"	"ST.ij.bMNTD"	"MST.ij.bMNTD"	"bNTI.wt"	"RC.bMNTD.wt"	"Plant"	"sex"
"A11"	"A10"	1.84830459595115e-06	2.00720848418562e-06	1.46500366042444e-05	1.59095410086002e-05	0.999985349963396	0.999984090458992	0.999998740477144	0.920832231694745	-0.283490756387234	-0.0909090909090908	"HS"	"FM"
"A12"	"A10"	3.76600050813468e-06	3.6575695243739e-06	2.98500828362567e-05	2.89906368961181e-05	0.999970149917164	0.999971009363104	0.971207921101824	0.97120708637692	0.126992338324484	0.131313131313131	"HS"	"FM"
"HS4"	"A10"	0.055191585872072	0.0429905971794166	0.437459688756582	0.340752181050911	0.562540311243418	0.659247818949089	0.77893389907411	0.664669196360341	0.730575379723945	0.595959595959596	"HS"	"FM"
"HS5"	"A10"	0.0582753602239216	0.0484628611750814	0.46190230889224	0.384126453895437	0.53809769110776	0.615873546104563	0.831618388781538	0.726597103766697	0.555717902517906	0.555555555555556	"HS"	"FM"
"HS6"	"A10"	0.0534595407990536	0.0522433773443098	0.423731148679634	0.414091590801691	0.576268851320366	0.585908409198309	0.977250768776426	0.961172717669811	0.0672934797063466	0.191919191919192	"HS"	"FM"
"A12"	"A11"	3.33088482159908e-06	3.06223440623103e-06	2.64012677714719e-05	2.42718901637394e-05	0.999973598732228	0.999975728109836	0.919345630438499	0.919343672756983	0.304818781045601	0.313131313131313	"HS"	"FM"
"HS4"	"A11"	0.0588740137713684	0.0426342578607417	0.466647358167435	0.337927763434055	0.533352641832565	0.662072236565945	0.724160884058419	0.583370060384481	0.940653310635639	0.676767676767677	"HS"	"FM"
"HS5"	"A11"	0.0612078965496408	0.0484450581844527	0.485146185799312	0.383985343785693	0.514853814200688	0.616014656214307	0.791483794009532	0.661507719196333	0.702969809205578	0.595959595959596	"HS"	"FM"
"HS6"	"A11"	0.0564731957533263	0.0521116310850282	0.447617988267315	0.413047343265232	0.552382011732685	0.586952656734768	0.92276752519285	0.868417880179985	0.234760867484248	0.272727272727273	"HS"	"FM"
"HS4"	"A12"	0.0436892165609122	0.0419885960908071	0.346289579774998	0.33281011746584	0.653710420225002	0.66718988253416	0.961074594511574	0.941657680208553	0.115604946738522	0.313131313131313	"HS"	"FM"
"HS5"	"A12"	0.0505497088124374	0.0491472785860759	0.40066723096309	0.389551284924704	0.59933276903691	0.610448715075296	0.972256413354128	0.954552141792207	0.0907181578879855	0.272727272727273	"HS"	"FM"
"HS6"	"A12"	0.0459581025074183	0.0538692735261451	0.364273229353094	0.426978773266511	0.635726770646906	0.573021226733489	0.901364002888207	0.768990864915372	-0.503741483075373	-0.353535353535354	"HS"	"FM"
"HS5"	"HS4"	0.00461126782245761	0.00640556570252527	0.0365498427796819	0.0507718112146963	0.963450157220318	0.949228188785304	0.985238501101036	0.709257981037102	-1.23581175136729	-0.858585858585859	"HS"	"FM"
"HS6"	"HS4"	0.010575370678543	0.0224050120104901	0.0838225300545657	0.177586663362324	0.916177469945434	0.822413336637676	0.897657237398183	0.423702429765179	-0.975598139707542	-0.757575757575758	"HS"	"FM"
"HS6"	"HS5"	0.00203387852813843	0.00240823552518169	0.0161209331790257	0.019088162564135	0.983879066820974	0.980911837435865	0.996984152336225	0.842004296975045	-0.845211614460318	-0.535353535353535	"HS"	"FM"
